=== 198 NEFFs profiled ===

neff            cnt    tot_us    wtot_us  gpsimd%  tensor%  vector%    dma%
bfd7169dff08fe    1      12.5       12.5     37.8     15.8     16.4     4.4
c0173db235c33a    1      22.1       22.1     20.1     14.8      9.4    19.2
c02c016a32582f    1      13.2       13.2     34.6     18.2     15.7     6.6
c29660e996e3b2    1      19.9       19.9     60.8      9.7     18.0    36.7
c52c7b83d22b2b    1      14.1       14.1     27.8     13.8     13.4     3.6
c57459c85c1f35    1      17.9       17.9     23.1     15.0     12.1     6.1
c93685122f6da4    1      19.9       19.9     21.5     15.0     11.4     7.3
cb4d22ff3cc3cc    1    5904.3     5904.3     72.7      2.7      1.9    15.9
cb5e843b3ee955    1      14.3       14.3     28.0     13.5     14.8     4.4
cd4f0d78f5a63e    1      12.8       12.8     35.4     15.0     12.8     9.4
cdaca8fde973e8    1      13.4       13.4     35.1     18.8     15.6     6.6
ce05707d24d924    1      14.5       14.5     27.4     13.4     14.3     4.6
cf7b811510079b    1      16.3       16.3     29.4     11.9     17.5    12.5
d1f4b081c267b1    1      78.5       78.5     68.1      2.5     19.4    56.9
d2f51c1c711aad    1      12.8       12.8     36.1     15.1     12.9     8.3
d40fa1114c9b5a    1      18.8       18.8     22.7     17.2     10.2    15.4
d41f45c2ef5c91    1      14.2       14.2     28.0     13.6     15.8     5.3
d6518ca9300eae    1      13.2       13.2     35.4     17.7     15.7     6.1
d867627e33976e    1      14.5       14.5     27.8     13.3     15.5     5.8
d9920f88cb37d3    1    5330.0     5330.0     81.0      0.0     15.6    47.7
da82e96fa4dc65    1      12.5       12.5     27.3     15.4     13.1     6.9
dbd53f65ffb646    1      46.5       46.5     53.4      4.2     22.6    38.7
dd67d4a51e9cce    1      12.2       12.2     28.9     15.8     17.9     9.8
e0d2c59f6f84de    1  380731.2   380731.2     75.3      2.6      1.6    12.2
e28b86a87bd206    1    1359.7     1359.7     80.6      0.1     17.8    48.5
e3508d937299c5    1      19.7       19.7     30.3     20.9      9.7    19.5
e3bf51848f0c79    1      13.1       13.1     37.2     14.9     13.5    11.9
e47664606b47ee    1      14.4       14.4     27.9     13.4     15.7     5.6
e638610947f6e0    1      70.2       70.2     68.3      2.7     28.3    48.0
e670b8609b7884    1      13.0       13.0     26.3     15.0     13.8    25.8
e6d5d1d2c52453    1      21.1       21.1     24.2     22.9     15.7    20.0
ea1eafe037c1e2    1      14.5       14.5     27.4     13.4     13.1     4.7
eb4b253a9aa771    1      13.1       13.1     31.0     14.7     14.8     8.0
eb7ca9efd0e964    1      13.9       13.9     29.2     13.9     14.5     4.8
ecb0c064efe3a4    1      13.8       13.8     32.2     17.8     13.5     9.7
eda1ee1a6369a2    1      18.5       18.5     56.7     10.4      8.9    44.5
f289d1602c1e3c    1     637.1      637.1     80.2      0.3     17.5    48.5
f53609ca732bca    1      15.4       15.4     34.8     12.5     17.0    10.3
f61c3e2ebc8d68    1      27.3       27.3     17.5     14.8     13.2    32.3
f83de8a9714807    1      13.7       13.7     24.0     14.1     12.1    31.2
f8ef063e91d015    1      15.3       15.3     27.7     12.6     10.8    21.4
f92f0808901c5c    1     369.7      369.7      8.3     93.4     29.4     9.6
fa3a01f22b68f5    1      21.4       21.4     32.4     43.3     18.7    16.6
fbf43a33fd6fdf    1      20.2       20.2     61.8      9.6     26.3    41.9
fcb32f9327a271    1      13.7       13.7     34.3     19.5     16.0     6.8
ff19c572d0d8d7    1      12.3       12.3     37.2     15.7     13.4     7.6

=== MODEL-LEVEL engine time (sum of active_time*exec_count) ===
  gpsimd       =    1241980.3 us  ( 56.0% of summed engine time)
  tensor       =      88963.6 us  (  4.0% of summed engine time)
  vector       =     119632.7 us  (  5.4% of summed engine time)
  scalar       =      53951.4 us  (  2.4% of summed engine time)
  sync         =      30814.9 us  (  1.4% of summed engine time)
  dma          =     337161.1 us  ( 15.2% of summed engine time)
  sw_dyn_dma   =     205803.9 us  (  9.3% of summed engine time)
  hw_dyn_dma   =      44334.3 us  (  2.0% of summed engine time)
  static_dma   =      96195.7 us  (  4.3% of summed engine time)

  weighted total_time across all NEFF executions = 1800543.2 us
